reward_today,future_reward,delay,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
78,80,162,0,0,0,t,5.6121669,None,0,0,0,6,0.1065423,,0.1036265,0.1065423,1.0065747,1.0065747,1.1057885,6.6227011,t,5.6121669,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
40,55,62,1,1,0,l,3.3753112,None,0,1,1,3,6.6388802,,6.6296448,6.6388802,7.6222276,7.6222276,7.6389349,11.0061555,l,3.3753112,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
67,75,119,2,2,0,t,2.2714819,None,0,2,2,5,11.0217557,,11.0134556,11.0217557,12.005783,12.005783,12.0223715,14.2895455,t,2.2714819,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
15,35,13,3,3,0,l,0.8168765,None,0,3,3,1,14.305419,,14.2976058,14.305419,15.288955,15.288955,15.3054481,16.1228158,l,0.8168765,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
27,50,21,4,4,0,t,0.5626951,None,0,4,4,2,16.1387364,,16.1266017,16.1387364,17.1222144,17.1222144,17.1389914,17.6892213,t,0.5626951,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
49,60,89,5,5,0,l,0.1957476,None,0,5,5,4,17.7054421,,17.6942488,17.7054421,18.688812,18.688812,18.7057273,18.8899123,l,0.1957476,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
11,30,7,6,6,0,t,0.3095368,None,0,6,6,0,18.9053084,,18.8942015,18.9053084,19.9056042,19.9056042,19.9056042,20.222937,t,0.3095368,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
27,50,21,7,0,1,l,0.5650516,None,1,0,7,2,20.2388796,,20.2285119,20.2388796,21.2224129,21.2224129,21.238757,21.7889378,l,0.5650516,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
78,80,162,8,1,1,l,0.2464428,None,1,1,8,6,21.8053893,,21.7939136,21.8053893,22.7887132,22.7887132,22.8054842,23.0395582,l,0.2464428,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
40,55,62,9,2,1,t,3.9878872,None,1,2,9,3,23.0553011,,23.0441351,23.0553011,24.0390036,24.0390036,24.0555029,28.0391331,t,3.9878872,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
67,75,119,10,3,1,t,3.4861856,None,1,3,10,5,28.0552878,,28.0440165,28.0552878,29.0390489,29.0390489,29.0551734,32.5394369,t,3.4861856,None,P3,1,2025-11-04_22h14.38.763,Dealy Discounting Bhumika Bajaj AU2320057,,2025.1.1,59.90513423,2025-11-04 22h14.51.418157 +0530
