word,color,condition,correctresponsekey,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,inst.started,fixation.started,key_resp_2.started,text.started,fixation.stopped,inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003376399865373969,0.0067032999359071255,0.0067032999359071255,0.5038791000843048,0.5207100000698119,1.9023114000447094,space,1.875842000124976,None,,,,,,,,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
DISSAPPOINTED,blue,Conguent,b,0,0,0,k,0.6004584999755025,None,0,0,0,13,1.9807209998834878,,,,,,,,,,,1.9745686000678688,2.9028320000506938,2.9028320000506938,3.5051913999486715,k,0.6004584999755025,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
CHAIR,red,Incongruent,r,1,1,0,b,0.37413090001791716,None,0,1,1,12,3.533045700052753,,,,,,,,,,,3.52730629988946,4.519967499887571,4.519967499887571,4.904494500020519,b,0.37413090001791716,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
SPOON,yellow,Incongruent,k,2,2,0,k,0.6108933999203146,None,0,2,2,15,4.920186999952421,,,,,,,,,,,4.912047300022095,5.920325899962336,5.920325899962336,6.53589539998211,k,0.6108933999203146,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
GREEN,blue,Incongruent,b,3,3,0,b,0.5710042000282556,None,0,3,3,1,6.5521267000585794,,,,,,,,,,,6.542911499971524,7.536828799871728,7.536828799871728,8.119853399926797,b,0.5710042000282556,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
HAPPY,yellow,Congruent,k,4,4,0,k,0.6239861000794917,None,0,4,4,11,8.135711699957028,,,,,,,,,,,8.12851499998942,9.120222799945623,9.120222799945623,9.753888600040227,k,0.6239861000794917,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
FORK,red,Incongruent,r,5,5,0,b,0.5310354998800904,None,0,5,5,16,9.77009700005874,,,,,,,,,,,9.763738200068474,10.753580800024793,10.753580800024793,11.286943899933249,b,0.5310354998800904,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
PEN,yellow,Incongruent,k,6,6,0,k,0.4414005000144243,None,0,6,6,19,11.303601099876687,,,,,,,,,,,11.29133679997176,12.286816800013185,12.286816800013185,12.737754999892786,k,0.4414005000144243,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
GLOOMY,pink,Congruent,p,7,7,0,p,0.6115018997807056,None,0,7,7,10,12.753015599912032,,,,,,,,,,,12.746424000011757,13.753130099968985,13.753130099968985,14.370616599917412,p,0.6115018997807056,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
HATE,pink,Congruent,p,8,8,0,p,0.4319103001616895,None,0,8,8,6,14.385544199962169,,,,,,,,,,,14.3747564998921,15.385768600041047,15.385768600041047,15.821484500076622,p,0.4319103001616895,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
LIKE,blue,Congruent,b,9,9,0,b,0.5487363999709487,None,0,9,9,5,15.837845100089908,,,,,,,,,,,15.83062359993346,16.82068970007822,16.82068970007822,17.371984200086445,b,0.5487363999709487,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
SAD,blue,Congruent,b,10,10,0,b,0.41978219989687204,None,0,10,10,9,17.38644709996879,,,,,,,,,,,17.379985000006855,18.38671340001747,18.38671340001747,18.82106969994493,b,0.41978219989687204,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
PENCIL,pink,Incongruent,p,11,11,0,p,0.5941637998912483,None,0,11,11,18,18.83676450001076,,,,,,,,,,,18.83147819992155,19.835938799893484,19.835938799893484,20.437688499921933,p,0.5941637998912483,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
YELLOW,pink,Congruent,p,12,12,0,b,0.6459736998658627,None,0,12,12,2,20.454923500074074,,,,,,,,,,,20.449269799981266,21.453410600079224,21.453410600079224,22.10414019995369,b,0.6459736998658627,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
LOVE,red,Congruent,r,13,13,0,p,0.44054399989545345,None,0,13,13,4,22.119988600024953,,,,,,,,,,,22.11134609999135,23.11970579996705,23.11970579996705,23.570736800087616,p,0.44054399989545345,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
PINK,yellow,Incongruent,k,14,14,0,k,0.4472840998787433,None,0,14,14,3,23.586492199916393,,,,,,,,,,,23.575829199980944,24.56975320004858,24.56975320004858,25.02031149994582,k,0.4472840998787433,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
CHANGE,yellow,Incongruent,k,15,15,0,p,0.36747030005790293,None,0,15,15,7,25.036035099998116,,,,,,,,,,,25.025230299914256,26.035733900032938,26.035733900032938,26.404685500077903,p,0.36747030005790293,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
ANGER,red,Congruent,r,16,16,0,k,0.40032300003804266,None,0,16,16,8,26.41978230001405,,,,,,,,,,,26.412724300054833,27.41998009989038,27.41998009989038,27.838015399873257,k,0.40032300003804266,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
TABLE,pink,Incongruent,p,17,17,0,p,0.3471063000615686,None,0,17,17,14,27.86116229998879,,,,,,,,,,,27.854706899961457,28.85242010001093,28.85242010001093,29.20334060001187,p,0.3471063000615686,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
RED,red,Congruent,r,18,18,0,p,0.4898274999577552,None,0,18,18,0,29.218710799934343,,,,,,,,,,,29.207437600009143,30.21885420009494,30.21885420009494,30.719833999872208,p,0.4898274999577552,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
KNIFE,blue,Incongruent,b,19,19,0,p,0.2675986001268029,None,0,19,19,17,30.73516339994967,,,,,,,,,,,30.725026899948716,31.718941600061953,31.718941600061953,32.00271650007926,p,0.2675986001268029,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
CHANGE,yellow,Incongruent,k,20,0,1,p,0.14013120019808412,None,1,0,20,7,32.01998459990136,,,,,,,,,,,32.00726730003953,33.002534199971706,33.002534199971706,33.153127799974754,p,0.14013120019808412,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
LIKE,blue,Congruent,b,21,1,1,b,0.8478852000553161,None,1,1,21,5,33.169117300072685,,,,,,,,,,,33.15780410007574,34.153373199980706,34.153373199980706,35.00427010003477,b,0.8478852000553161,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
FORK,red,Incongruent,r,22,2,1,b,0.6235521000344306,None,1,2,22,16,35.0201566000469,,,,,,,,,,,35.01326899998821,36.01985469995998,36.01985469995998,36.65284430002794,b,0.6235521000344306,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
SPOON,yellow,Incongruent,k,23,3,1,k,0.7378507000394166,None,1,3,23,15,36.66874919994734,,,,,,,,,,,36.65758579992689,37.65321090002544,37.65321090002544,38.404324000002816,k,0.7378507000394166,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
YELLOW,pink,Congruent,p,24,4,1,k,0.8146962998434901,None,1,4,24,2,38.420733199920505,,,,,,,,,,,38.414805399952456,39.41878110007383,39.41878110007383,40.23676469991915,k,0.8146962998434901,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
LOVE,red,Congruent,r,25,5,1,b,0.8191502999980003,None,1,5,25,4,40.25297580007464,,,,,,,,,,,40.242551899980754,41.252979499986395,41.252979499986395,42.08792209997773,b,0.8191502999980003,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
ANGER,red,Congruent,r,26,6,1,k,0.548141400096938,None,1,6,26,8,42.10293240007013,,,,,,,,,,,42.09678840008564,43.103399500017986,43.103399500017986,43.65362520003691,k,0.548141400096938,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
TABLE,pink,Incongruent,p,27,7,1,b,0.4690809000749141,None,1,7,27,14,43.66940929996781,,,,,,,,,,,43.662703099893406,44.65328829991631,44.65328829991631,45.13893130002543,b,0.4690809000749141,None,,,P1,001,2025-11-24_17h44.42.718,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,60.15091861354744,2025-11-24 17h44.50.641268 +0530,
