word,color,condition,correctresponsekey,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,inst.started,fixation.started,key_resp_2.started,inst.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,target.started,key_resp.started,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,target.stopped,key_resp.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart
,,,,,,,,,,,,,,,,0.0028496,0.0065167,0.0065167,0.412781,space,0.3845354,None,,,,,,,,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
CHANGE,yellow,Incongruent,k,0,0,0,k,0.7322886,None,0,0,0,7,0.4413346,,,,,,,,,0.4377987,1.4224866,1.4224866,2.155991,k,0.7322886,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
GLOOMY,pink,Congruent,p,1,1,0,p,0.5143662,None,0,1,1,10,2.1724916,,,,,,,,,2.1654849,3.1564801,3.1564801,3.6734283,p,0.5143662,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
HAPPY,yellow,Congruent,k,2,2,0,k,0.3532795,None,0,2,2,11,3.689974,,,,,,,,,3.67833,4.6725785,4.6725785,5.0403281,k,0.3532795,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
CHAIR,red,Incongruent,r,3,3,0,r,0.5014785,None,0,3,3,12,5.055366,,,,,,,,,5.0462953,6.0554731,6.0554731,6.5734421,r,0.5014785,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
FORK,red,Incongruent,r,4,4,0,r,0.4734031,None,0,4,4,16,6.5892252,,,,,,,,,6.5825219,7.5724838,7.5724838,8.0576558,r,0.4734031,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
SPOON,yellow,Incongruent,k,5,5,0,k,0.5087554,None,0,5,5,15,8.071959,,,,,,,,,8.0652598,9.0727478,9.0727478,9.5899599,k,0.5087554,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
ANGER,red,Congruent,r,6,6,0,r,0.4532389,None,0,6,6,8,9.6054296,,,,,,,,,9.5983764,10.5894254,10.5894254,11.0575673,r,0.4532389,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
SAD,blue,Congruent,b,7,7,0,b,0.5327074,None,0,7,7,9,11.0765274,,,,,,,,,11.0726246,12.0717631,12.0717631,12.6070313,b,0.5327074,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
PENCIL,pink,Incongruent,p,8,8,0,p,0.5509652,None,0,8,8,18,12.6250483,,,,,,,,,12.61832,13.622476,13.622476,14.1904046,p,0.5509652,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
DISSAPPOINTED,blue,Conguent,b,9,9,0,b,0.5898279,None,0,9,9,13,14.205053,,,,,,,,,14.1989247,15.2058053,15.2058053,15.8072115,b,0.5898279,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
LIKE,blue,Congruent,b,10,10,0,b,0.4237332,None,0,10,10,5,15.8227619,,,,,,,,,15.8169297,16.822475,16.822475,17.2569305,b,0.4237332,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
GREEN,blue,Incongruent,b,11,11,0,b,0.3994448,None,0,11,11,1,17.2721456,,,,,,,,,17.2653565,18.2558954,18.2558954,18.6573241,b,0.3994448,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
HATE,pink,Congruent,p,12,12,0,p,0.8151374,None,0,12,12,6,18.6719699,,,,,,,,,18.6625354,19.6726138,19.6726138,20.4907041,p,0.8151374,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
LOVE,red,Congruent,r,13,13,0,r,0.5311145,None,0,13,13,4,20.5139314,,,,,,,,,20.5072141,21.5059683,21.5059683,22.0408132,r,0.5311145,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
TABLE,pink,Incongruent,p,14,14,0,r,0.812794,None,0,14,14,14,22.0618397,,,,,,,,,22.056502,23.0551604,23.0551604,23.8724231,r,0.812794,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
YELLOW,pink,Congruent,p,15,15,0,p,0.5489381,None,0,15,15,2,23.8878297,,,,,,,,,23.8773813,24.8719135,24.8719135,25.4237667,p,0.5489381,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
PEN,yellow,Incongruent,k,16,16,0,k,0.421426,None,0,16,16,19,25.4388429,,,,,,,,,25.4325728,26.4387193,26.4387193,26.8736782,k,0.421426,None,,,P4,1,2025-11-24_17h57.21.832,Solo Lab Project Bhumika Bajaj AU2320057 PSY310,,2025.1.1,59.90039756,2025-11-24 17h57.31.830403 +0530
